"lessonNumber","lessonKey","unitIndex","syllabusId","unitHeading","leadVisualType","leadVisualTitle","leadVisualRole","coreExplanationRole","methodTitle","methodRole","workedExampleTitle","workedExampleRole","practiceQuestionIds","commandWords","duplicateFindings","repairStatus"
"001","S1-L01","1","S1.01","Binary and decimal prefixes use different scales","reviewed-visual","The storage ladder","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L001-01 | V3-Q-L001-02 | V3-Q-L001-03","State | Calculate | Draw","none","PASS"
"002","S1-L02","1","S1.02","Bases and signed representations answer different questions","reviewed-visual","Three ways to represent negative binary values","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L002-01 | V3-Q-L002-02 | V3-Q-L002-03 | V3-002-S1.02-CHECK","Calculate | Explain","none","PASS"
"002","S1-L02","2","S1.03","Choose the conversion method from the target","reviewed-visual","Two conversion directions, two reliable methods","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L002-01 | V3-002-S1.03-CHECK","Calculate | Explain","none","PASS"
"003","S1-L03","1","S1.04","Signed arithmetic keeps one fixed-width bit pattern","reviewed-visual","8-bit addition method","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L003-02 | V3-Q-L003-03","State | Calculate","none","PASS"
"003","S1-L03","2","S1.05","Overflow means the true result does not fit","reviewed-visual","Unsigned 8-bit overflow","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L003-01 | V3-Q-L003-02 | V3-Q-L003-03","Explain | State | Calculate","none","PASS"
"004","S1-L04","1","S1.06","BCD and hexadecimal suit different real uses","table","Visual overview · BCD and hexadecimal suit different real uses","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L004-01 | V3-Q-L004-02 | V3-Q-L004-03","Explain | State","none","PASS"
"004","S1-L04","2","S1.07","Character sets map symbols to binary codes","reviewed-visual","ASCII and extended ASCII","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L004-01 | V3-Q-L004-02 | V3-Q-L004-03","Explain | State","none","PASS"
"005","S1-L05","1","S1.08","A bitmap stores metadata plus a grid of pixels","reviewed-visual","Colour depth: bits per pixel","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L005-01 | V3-Q-L005-02 | V3-Q-L005-03 | V3-005-S1.08-CHECK","Explain | Calculate | Identify | Compare","none","PASS"
"005","S1-L05","2","S1.09","A vector file stores drawing instructions","reviewed-visual","Vector drawing list: objects, properties and redrawing","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Read and scale a vector drawing list","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L005-01 | V3-Q-L005-03 | V3-005-S1.09-CHECK","Explain | Identify | Justify","none","PASS"
"006","S1-L06","1","S1.10","Sampling measures a wave at discrete moments","reviewed-visual","Sampling rate: samples per second","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Sound sampling process","Carry out a genuine calculation, algorithm, operation or physical process.","Separate the two quality controls","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L006-02","Explain","none","PASS"
