"lesson","section","syllabus_id","severity","confidence","atomic_objectives","visible_evidence","hidden_evidence","worked_example","practice_coverage","rendered_risk","finding","remediation"
"001","1","S1.01","P1","high","binary prefixes; decimal prefixes; kibi; kilo; mebi; mega; gibi; giga; tebi; tera","7/10 objective groups; 1 visual(s)","binary prefixes; decimal prefixes; giga/GB","present","8/10 objective groups","single visual","Three prefix objectives remain hidden-only.","R1: promote binary prefixes, decimal prefixes and giga/GB into default-visible conversion teaching."
"002","1","S1.02","Pass","high","binary; denary; hexadecimal; BCD; one's-complement; two's-complement","6/6 objective groups; 1 visual(s)","none","present","4/6 objective groups","single visual","Tailored visible explanation, example and practice form a teaching loop.","Retain the current representation comparison and example."
"002","1","S1.03","P1","high","integer; convert; binary; denary; hexadecimal; BCD; two's-complement; one's-complement","6/8 objective groups; 2 visual(s)","two's-complement; one's-complement","present","6/8 objective groups","carousel 2","Signed-conversion objectives remain hidden-only.","R1+R4: promote both complement methods and sign interpretation into the visible conversion process."
"003","1","S1.04","P1","high","binary addition; binary subtraction; positive; negative; integer","3/5 objective groups; 2 visual(s)","binary addition; binary subtraction","present","2/5 objective groups","carousel 2","Addition/subtraction are hidden and practice covers fewer than half of the objective groups.","R1+R3+R4: teach both arithmetic methods visibly and map a complete calculation question to each."
"003","1","S1.05","Pass","high","overflow; fixed-width; representable range","3/3 objective groups; 1 visual(s)","none","present","3/3 objective groups","single visual","Tailored visible explanation, example and practice form a teaching loop.","Retain the range-check method and worked overflow decision."
"004","1","S1.06","P1","high","BCD; hexadecimal; digital clock; memory address","1/4 objective groups; 0 visual(s)","hexadecimal; digital clock; memory address","present","2/4 objective groups","no visual","Applications are named but not taught visibly.","R1: add digital-clock BCD and hexadecimal memory-address worked applications."
"004","1","S1.07","P1","high","ASCII; extended ASCII; Unicode; character set; binary; no memorisation","5/6 objective groups; 2 visual(s)","no memorisation boundary","present","4/6 objective groups","carousel 2","Scope boundary and encoding choice are not fully visible.","R1+R4: state the non-memorisation boundary and compare one character across the encodings."
"005","1","S1.08","P2","high","pixel; file header; pixel data; image resolution; screen resolution; colour depth; ignore header in estimate","7/7 objective groups; 4 visual(s)","none","present","4/7 objective groups","carousel 4","Core facts are present but the method is distributed across four carousel items.","R1+R4: provide one default-visible encoding/file-size path and signpost each supplementary visual."
"005","1","S1.09","P1","high","vector encoding; drawing objects; properties; drawing list; bitmap; application choice","4/6 objective groups; 1 visual(s)","vector encoding; application choice","present","4/6 objective groups","single visual","Vector encoding and application justification remain hidden.","R1: show a drawing-list encoding and a bitmap/vector scenario decision in the visible flow."
"006","1","S1.10","P1","high","sound; digital representation; analogue-to-digital sampling; sampling rate; sampling resolution; file size; accuracy","6/7 objective groups; 3 visual(s)","digital representation","truncated","5/7 objective groups","carousel 3","Digital representation is hidden and the worked example is truncated.","R1+R2+R4: promote the sample-to-binary process and store the example as complete structured steps."
"006","1","S1.11","P0","high","compression; lossy; lossless; text; bitmap; vector; sound; RLE","8/8 objective groups; 4 visual(s)","none","truncated","8/8 objective groups","carousel 4","RLE and file-type choices are not taught as complete visible processes; RLE is carousel item 4/4.","R1+R2+R3+R4: add visible RLE encode/decode/overhead teaching; separate file-type decisions; map questions explicitly."
