lesson,markdown_file,title,declared_syllabus_reference,core_regions,optional_regions,lesson_exam_questions,markdown_html_identity,browser_load_identity,normalised_duplicate_group,independent_semantic_status,defect_ids,release_status
001,001-binary-and-decimal-magnitude-prefixes.md,Lesson 001: Binary and decimal magnitude prefixes,Syllabus Section 1,3,17,5,Pass,Pass,,Fail,SCI-SEQ-001,Blocked
002,002-integer-conversion-between-binary-and-denary.md,Lesson 002: Integer conversion between binary and denary,Syllabus Section 1,4,16,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
003,003-hexadecimal-as-a-base-16-representation.md,Lesson 003: Hexadecimal as a base-16 representation,Syllabus Section 1,2,17,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
004,004-binary-addition-and-fixed-width-overflow.md,Lesson 004: Binary addition and fixed-width overflow,Syllabus Section 1,4,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
005,005-signed-representations-and-binary-subtraction.md,Lesson 005: Signed representations and binary subtraction,Syllabus Section 1,2,16,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
006,006-bcd-and-hexadecimal-in-practical-systems.md,Lesson 006: BCD and hexadecimal in practical systems,Syllabus Section 1,2,16,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
007,007-character-sets-and-internal-binary-character-data.md,Lesson 007: Character sets and internal binary character data,Syllabus Section 1,3,17,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
008,008-bitmap-file-headers-image-resolution-and-screen-resolution.md,"Lesson 008: Bitmap file headers, image resolution and screen resolution",Syllabus Section 1,3,16,5,Pass,Pass,DUP-BASE-02,PendingIndependentSemanticReview,,NotReady
009,009-bitmap-file-size-calculations-and-metadata.md,Lesson 009: Bitmap file-size calculations and metadata,Syllabus Section 1,2,15,5,Pass,Pass,DUP-BASE-02,PendingIndependentSemanticReview,,NotReady
010,010-vector-graphics-and-drawing-lists.md,Lesson 010: Vector graphics and drawing lists,S1.09 Vector-graphic encoding and bitmap/vector choice,3,5,5,Pass,Pass,,Fail,SCI-TERM-001,Blocked
011,011-sound-sampling-sampling-resolution-accuracy-and-storage.md,"Lesson 011: Sound sampling, sampling resolution, accuracy and storage",Syllabus Section 1,4,17,5,Pass,Pass,,Fail,SCI-TERM-001,Blocked
012,012-sound-file-size-calculations.md,Lesson 012: Sound file size calculations,Syllabus Section 1,12,5,5,Pass,Pass,,Fail,SCI-CONT-001,Blocked
013,013-compression-methods-for-text-bitmap-vector-and-sound-files.md,"Lesson 013: Compression methods for text, bitmap, vector and sound files",Syllabus Section 1,3,16,5,Pass,Pass,,Fail,SCI-CONT-001,Blocked
014,014-run-length-encoding-and-dictionary-style-compression.md,Lesson 014: Run-length encoding and dictionary-style compression,Syllabus Section 1,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
015,015-choosing-data-representation-for-a-real-system.md,Lesson 015: Choosing data representation for a real system,Syllabus Section 1,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
016,016-section-1-review-under-exam-timing.md,Lesson 016: Section 1 review under exam timing,Syllabus Section 1,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
017,017-network-purpose-and-client-server-models.md,Lesson 017: Network purpose and client/server models,Syllabus Section 2,2,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
018,018-bus-star-mesh-and-hybrid-topologies.md,"Lesson 018: Bus, star, mesh and hybrid topologies",Syllabus Section 2,2,17,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
019,019-packet-transmission-between-two-hosts-in-each-required-topology.md,Lesson 019: Packet transmission between two hosts in each required topology,Syllabus Section 2,2,17,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
020,020-cloud-wired-and-wireless-networking.md,"Lesson 020: Cloud, wired and wireless networking",Syllabus Section 2,2,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
021,021-lan-hardware-ethernet-streaming-the-internet-ip-and-url.md,"Lesson 021: LAN hardware, Ethernet, streaming, the internet, IP and URL",Syllabus Section 2,2,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
022,022-http-https-ftp-smtp-pop3-and-imap-in-context.md,"Lesson 022: HTTP, HTTPS, FTP, SMTP, POP3 and IMAP in context",Syllabus Section 2,11,4,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
023,023-wired-and-wireless-transmission-media.md,Lesson 023: Wired and wireless transmission media,Syllabus Section 2,0,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
024,024-network-hardware-switches-routers-access-points-and-gateways.md,"Lesson 024: Network hardware: switches, routers, access points and gateways",Syllabus Section 2,0,19,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
025,025-internet-intranet-extranet-and-cloud-services.md,"Lesson 025: Internet, intranet, extranet and cloud services",Syllabus Section 2,0,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
026,026-network-performance-latency-bandwidth-and-congestion.md,"Lesson 026: Network performance, latency, bandwidth and congestion",Syllabus Section 2,0,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
027,027-section-2-review-explaining-communication-with-precision.md,Lesson 027: Section 2 review: explaining communication with precision,Syllabus Section 2,10,3,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
028,028-why-computer-systems-need-input-output-and-storage.md,"Lesson 028: Why computer systems need input, output and storage",Syllabus Section 3,2,15,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
029,029-embedded-systems-purpose-benefits-and-drawbacks.md,"Lesson 029: Embedded systems: purpose, benefits and drawbacks",Syllabus Section 3,2,15,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
030,030-microphone-touchscreen-and-vr-headset-operation.md,"Lesson 030: Microphone, touchscreen and VR headset operation",Syllabus Section 3,2,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
031,031-output-storage-devices-and-primary-memory.md,"Lesson 031: Output, storage devices and primary memory",Syllabus Section 3,2,15,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
032,032-monitoring-control-feedback-and-required-sensors.md,"Lesson 032: Monitoring, control, feedback and required sensors",Syllabus Section 3,3,17,5,Pass,Pass,DUP-BASE-01,PendingIndependentSemanticReview,,NotReady
033,033-logic-gate-symbols-functions-and-representation-conversions.md,"Lesson 033: Logic-gate symbols, functions and representation conversions",Syllabus Section 3,3,15,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
034,034-embedded-systems-and-microcontrollers.md,Lesson 034: Embedded systems and microcontrollers,Syllabus Section 3,0,13,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
035,035-sensors-actuators-and-control-systems.md,"Lesson 035: Sensors, actuators and control systems",Syllabus Section 3,0,14,5,Pass,Pass,,PendingIndependentSemanticReview,,NotReady
