requirement_id,section,official_requirement,official_notes,teaching_lessons,delivery_role,required_groups,worked_example_evidence,practice_evidence,assessment_evidence,prerequisites,risk_level,forbidden_pattern_count,current_gate_status,current_gate_messages,independent_semantic_status,defect_ids,release_status
S1.01,1,Show understanding of binary magnitudes and the difference between binary prefixes and decimal prefixes.,"Use and distinguish kibi/kilo, mebi/mega, gibi/giga and tebi/tera; binary prefixes use powers of 1024 and decimal prefixes use powers of 1000.",1,CORE,10,L001#stage2-completion,L001#stage2-practice,L001-Q2;AQ005-Q1,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.02,1,"Show understanding of binary, denary and hexadecimal number systems, BCD, and one's- and two's-complement representations.","The Version 2 row requires binary, denary, hexadecimal, Binary Coded Decimal (BCD), one's complement and two's complement; BCD and complements are representations rather than additional number bases.",2;3;5;6,CORE,6,L002#stage2-completion,L002#stage2-practice,L003-Q1;L005-Q4;AQ011-Q1,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.03,1,Convert an integer value from one required number base or representation to another.,"Conversions apply to integer values and the binary, denary, hexadecimal, BCD, one's-complement and two's-complement representations named in the preceding Version 2 row.",2;3;5;6,CORE,8,L002#stage2-completion;L005#stage2-completion,L002#stage2-practice;L005#stage2-practice,L002-Q1;L003-Q1;AQ011-Q1;L005-Q1,S1.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.04,1,Perform binary addition and subtraction using positive and negative binary integers.,Version 2 explicitly requires both addition and subtraction using positive and negative binary integers; fixed-width representation must be retained throughout a calculation.,4;5,CORE,5,L004#stage2-completion,L004#stage2-practice,L004-Q1;L005-Q5;AQ005-Q4,S1.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.05,1,Show understanding of how overflow can occur in fixed-width binary arithmetic.,Overflow occurs when the mathematical result is outside the range representable by the stated bit width and representation; it is not inferred from every internal carry or from a leading 1 alone.,4,CORE,3,L004#stage2-completion,L004#stage2-practice,AQ005-Q4,S1.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.06,1,Describe practical applications where BCD and hexadecimal are used.,"Candidates must connect each representation to a practical use and explain why it suits that use, rather than only performing a conversion.",6,CORE,4,L006#stage2-completion,L006#stage2-practice,AQ011-Q1,S1.02,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.07,1,"Show understanding of character data in internal binary form using ASCII, extended ASCII and Unicode.","Students should understand ASCII, extended ASCII and Unicode but are not expected to memorise particular character codes.",7,CORE,6,L007#stage2-completion,L007#stage2-practice,L007-Q2;AQ011-Q2,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.08,1,Show understanding of how data for a bitmapped image are encoded; perform calculations to estimate the file size for a bitmap image; show understanding of the effects of changing elements of a bitmap image on the image quality and file size.,"Use and understand the terms pixel, file header, image resolution, screen resolution and colour depth/bit depth. Required effects concern image resolution and colour depth/bit depth.",8;9,CORE,7,L008#stage2-completion,L008#stage2-practice,L008-Q1;AQ011-Q3,S1.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.09,1,Show understanding of vector-graphic encoding and justify bitmap or vector storage for a given task.,"Use drawing object, property and drawing list; a justification must connect bitmap/vector characteristics to the stated application.",10,CORE,6,L010#stage2-completion,L010#stage2-practice,L010-Q1;L010-Q5,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S1.10,1,Show understanding of how sound is represented and encoded; show understanding of the impact of changing the sampling rate and resolution.,"Use the terms sampling, sampling rate and sampling resolution. Explain the impact of changing sampling rate and sampling resolution on file size and accuracy; sound-file-size calculation is not stated as a compulsory requirement.",11,CORE,7,L011#stage2-completion,L011#stage2-practice,L011-Q5;AM021-Q5,S1.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
