old_lesson,old_title,new_lesson,new_title,reason
"1","Binary and decimal magnitude prefixes","1","Binary data units and magnitude prefixes","Mapped by official section, syllabus teaching evidence and topic similarity"
"2","Integer conversion between binary and denary","2","Binary, denary and hexadecimal number systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"3","Hexadecimal as a base-16 representation","2","Binary, denary and hexadecimal number systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"4","Binary addition and fixed-width overflow","3","Signed binary arithmetic and overflow","Mapped by official section, syllabus teaching evidence and topic similarity"
"5","Signed representations and binary subtraction","3","Signed binary arithmetic and overflow","Mapped by official section, syllabus teaching evidence and topic similarity"
"6","BCD and hexadecimal in practical systems","4","BCD, hexadecimal applications and character encoding","Mapped by official section, syllabus teaching evidence and topic similarity"
"7","Character sets and internal binary character data","4","BCD, hexadecimal applications and character encoding","Mapped by official section, syllabus teaching evidence and topic similarity"
"8","Bitmap file headers, image resolution and screen resolution","5","Bitmap and vector graphics","Mapped by official section, syllabus teaching evidence and topic similarity"
"9","Bitmap file-size calculations and metadata","5","Bitmap and vector graphics","Mapped by official section, syllabus teaching evidence and topic similarity"
"10","Vector graphics and drawing lists","5","Bitmap and vector graphics","Mapped by official section, syllabus teaching evidence and topic similarity"
"11","Sound sampling, sampling resolution, accuracy and storage","6","Sound representation and file compression","Mapped by official section, syllabus teaching evidence and topic similarity"
"12","Sound file size calculations","5","Bitmap and vector graphics","Mapped by official section, syllabus teaching evidence and topic similarity"
"13","Compression methods for text, bitmap, vector and sound files","6","Sound representation and file compression","Mapped by official section, syllabus teaching evidence and topic similarity"
"14","Run-length encoding and dictionary-style compression","6","Sound representation and file compression","Mapped by official section, syllabus teaching evidence and topic similarity"
"15","Choosing data representation for a real system","2","Binary, denary and hexadecimal number systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"16","Section 1 review under exam timing","1","Binary data units and magnitude prefixes","Mapped by official section, syllabus teaching evidence and topic similarity"
"17","Network purpose and client/server models","7","Network purposes, LANs, WANs and computer roles","Mapped by official section, syllabus teaching evidence and topic similarity"
"18","Bus, star, mesh and hybrid topologies","8","Network topologies and packet transmission","Mapped by official section, syllabus teaching evidence and topic similarity"
"19","Packet transmission between two hosts in each required topology","8","Network topologies and packet transmission","Mapped by official section, syllabus teaching evidence and topic similarity"
"20","Cloud, wired and wireless networking","9","Cloud computing and transmission media","Mapped by official section, syllabus teaching evidence and topic similarity"
"21","LAN hardware, Ethernet, streaming, the internet, IP and URL","11","Streaming, the internet and connection infrastructure","Mapped by official section, syllabus teaching evidence and topic similarity"
"22","HTTP, HTTPS, FTP, SMTP, POP3 and IMAP in context","12","IP addressing, subnetting, URLs and DNS","Mapped by official section, syllabus teaching evidence and topic similarity"
"23","Wired and wireless transmission media","9","Cloud computing and transmission media","Mapped by official section, syllabus teaching evidence and topic similarity"
"24","Network hardware: switches, routers, access points and gateways","10","LAN hardware, routers and Ethernet","Mapped by official section, syllabus teaching evidence and topic similarity"
"25","Internet, intranet, extranet and cloud services","11","Streaming, the internet and connection infrastructure","Mapped by official section, syllabus teaching evidence and topic similarity"
"26","Network performance, latency, bandwidth and congestion","7","Network purposes, LANs, WANs and computer roles","Mapped by official section, syllabus teaching evidence and topic similarity"
"27","Section 2 review: explaining communication with precision","12","IP addressing, subnetting, URLs and DNS","Mapped by official section, syllabus teaching evidence and topic similarity"
"28","Why computer systems need input, output and storage","13","Input, output, storage and embedded systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"29","Embedded systems: purpose, benefits and drawbacks","13","Input, output, storage and embedded systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"30","Microphone, touchscreen and VR headset operation","14","How input, output and storage devices work","Mapped by official section, syllabus teaching evidence and topic similarity"
"31","Output, storage devices and primary memory","15","Buffers and primary memory technologies","Mapped by official section, syllabus teaching evidence and topic similarity"
"32","Monitoring, control, feedback and required sensors","16","Monitoring, control, sensors and actuators","Mapped by official section, syllabus teaching evidence and topic similarity"
"33","Logic-gate symbols, functions and representation conversions","17","Logic gates, symbols and truth tables","Mapped by official section, syllabus teaching evidence and topic similarity"
"34","Embedded systems and microcontrollers","13","Input, output, storage and embedded systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"35","Sensors, actuators and control systems","16","Monitoring, control, sensors and actuators","Mapped by official section, syllabus teaching evidence and topic similarity"
"36","Logic gates: NOT, AND, OR, NAND, NOR, XOR","17","Logic gates, symbols and truth tables","Mapped by official section, syllabus teaching evidence and topic similarity"
"37","Truth tables and Boolean expressions","18","Boolean expressions and logic-circuit design","Mapped by official section, syllabus teaching evidence and topic similarity"
"38","Building logic circuits from requirements","17","Logic gates, symbols and truth tables","Mapped by official section, syllabus teaching evidence and topic similarity"
"39","Hardware selection for different users","13","Input, output, storage and embedded systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"40","Environmental and reliability considerations in hardware","13","Input, output, storage and embedded systems","Mapped by official section, syllabus teaching evidence and topic similarity"
"41","Section 3 review: compare, justify, calculate","14","How input, output and storage devices work","Mapped by official section, syllabus teaching evidence and topic similarity"
"42","Von Neumann architecture, CPU components and registers","19","Von Neumann architecture, CPU components and registers","Mapped by official section, syllabus teaching evidence and topic similarity"
"43","System buses, ports and processor performance","20","System buses, ports and processor performance","Mapped by official section, syllabus teaching evidence and topic similarity"
"44","Register-transfer notation for the fetch-decode-execute cycle","21","The fetch-execute cycle in register-transfer notation","Mapped by official section, syllabus teaching evidence and topic similarity"
"45","Interrupt causes, detection and handling","22","Interrupt causes, detection and handling","Mapped by official section, syllabus teaching evidence and topic similarity"
"46","Assembly language and machine code","23","Assembly language and the two-pass assembler","Mapped by official section, syllabus teaching evidence and topic similarity"
"47","Two-pass assembly, program tracing and the instruction set","24","Tracing instructions and addressing modes","Mapped by official section, syllabus teaching evidence and topic similarity"
"48","Addressing modes and address-sensitive instructions","24","Tracing instructions and addressing modes","Mapped by official section, syllabus teaching evidence and topic similarity"
"49","Section 4 semantic checkpoint","24","Tracing instructions and addressing modes","Mapped by official section, syllabus teaching evidence and topic similarity"
"50","Bit manipulation with masks and shifts","25","Bit manipulation, masks and binary shifts","Mapped by official section, syllabus teaching evidence and topic similarity"
"51","Bit manipulation: masks and binary shifts","25","Bit manipulation, masks and binary shifts","Mapped by official section, syllabus teaching evidence and topic similarity"
"52","Section 4 review: tracing processor behaviour","20","System buses, ports and processor performance","Mapped by official section, syllabus teaching evidence and topic similarity"
"53","Why an operating system is required and what it manages","26","Why operating systems are required","Mapped by official section, syllabus teaching evidence and topic similarity"
"54","Required utility software","27","Utility software, libraries and linked files","Mapped by official section, syllabus teaching evidence and topic similarity"
