lesson,target_id,title,target_type,delivery_role,classroom_activity,status,implementation_id,rationale,content_hash
001,knowledge,The storage ladder,mechanism,CORE,TEACH,Implemented,explanation-knowledge,Maintained explanation target.,14c83c509bcc9b34d18a435d322d75b4ef479edde4490928e355c28a87dae9c8
001,stage2-completion,Binary and decimal magnitude prefixes,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
002,knowledge,8-bit binary place values,mechanism,OPTIONAL,EXTEND,Implemented,explanation-knowledge,Explicit extension visual retained outside compulsory syllabus evidence.,bd4701ff39324e97ce159b42c768190f1c316e8e47cf70767e94c029be43ed27
002,methods,"Two conversion directions, two reliable methods",mechanism,CORE,TEACH,Implemented,explanation-methods,Maintained explanation target.,7475882270e37d48dcf6f5d28976eeedda627fbc501ce73edf25b3d7c7ed71a8
002,range,Range and leading zeros,mechanism,OPTIONAL,EXTEND,Implemented,explanation-range,Explicit extension visual retained outside compulsory syllabus evidence.,87e4629289b5a369853cc2ff4761a83dfe12a9042b2583b49245f35dbf31ee09
002,stage2-completion,Integer conversion between binary and denary,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
002,systems,Three ways to represent negative binary values,mechanism,CORE,TEACH,Implemented,explanation-systems,Maintained explanation target.,c3ec95e3ef20daa24f393d703196229bd7b9fd6ba5777d9dbcf49114295e30ad
003,digits,Hexadecimal digits: 0-9 then A-F,mechanism,OPTIONAL,EXTEND,Implemented,explanation-digits,Explicit extension visual retained outside compulsory syllabus evidence.,925b814bc3e43e824f0be1e0c19bf4e87e735c764711e01af04a9d59c4f8a7af
003,grouping,One hex digit represents one nibble,mechanism,OPTIONAL,EXTEND,Implemented,explanation-grouping,Explicit extension visual retained outside compulsory syllabus evidence.,8b5e682512e92a8403c32036b2757e44440b72a1691ac3bd9f9d46ecd736956c
003,padding,Padding with leading zeros,mechanism,OPTIONAL,EXTEND,Implemented,explanation-padding,Explicit extension visual retained outside compulsory syllabus evidence.,b4b6e76e43b1358026b86fc1e4bfa2afb899cdc462d0e14a812eee4aeb3f1913
003,stage2-completion,Hexadecimal as a base-16 representation,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
004,method,8-bit addition method,mechanism,CORE,TEACH,Implemented,explanation-method,Maintained explanation target.,64230234d3cbc8b55d9f8007d2058fd9ef256b1ae51a4e06008836951b79a92c
004,overflow,Unsigned 8-bit overflow,mechanism,CORE,TEACH,Implemented,explanation-overflow,Maintained explanation target.,ac91b8113cd9e01e20d11926b1d0953bc796b9ec97cf0182b11d25b95b3de005
