surface,id,source,status,independent_review_status,evidence_location,content_hash,reviewer_id,review_round,official_basis,review_note
lesson-markdown,L001,lessons/001-binary-and-decimal-magnitude-prefixes.md,Approved,IndependentlyReviewed,lessons/001-binary-and-decimal-magnitude-prefixes.md#content,8dbeb8cd860bec0331b53b39f25850036ac6887c9d0df4ead80b51a7ebc5f080,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L001,web/lesson-001/index.html,Approved,IndependentlyReviewed,web/lesson-001/index.html#content,390384c344af24b0d88eae64ce763394ba3aecef0120bb2c2ea7b2c5f384a7cd,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L002,lessons/002-integer-conversion-between-binary-and-denary.md,Approved,IndependentlyReviewed,lessons/002-integer-conversion-between-binary-and-denary.md#content,ebf12b3640306e8a740122b790ef55d3fd1798326d42dc166c9b104543a66a3d,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L002,web/lesson-002/index.html,Approved,IndependentlyReviewed,web/lesson-002/index.html#content,e6adf1334f258e8eb55d1ad38ced1e2878446d1a999a2a1db880ad50d01d0ccf,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L003,lessons/003-hexadecimal-as-a-base-16-representation.md,Approved,IndependentlyReviewed,lessons/003-hexadecimal-as-a-base-16-representation.md#content,ec0356bdd846443066abba3bc169e7da8921eb9d22777e2533893e9e5adecdf6,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L003,web/lesson-003/index.html,Approved,IndependentlyReviewed,web/lesson-003/index.html#content,266f060606943c46167ce8d87e0df991cd6dcb0b69fd0a8617b1200cdf6dde4d,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L004,lessons/004-binary-addition-and-fixed-width-overflow.md,Approved,IndependentlyReviewed,lessons/004-binary-addition-and-fixed-width-overflow.md#content,1586ef55e7beb64ce9eb55e2ef076f89f0c6ea7e638eca85eba4296d300f40ad,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L004,web/lesson-004/index.html,Approved,IndependentlyReviewed,web/lesson-004/index.html#content,90fdca938c30ee0497fc892a8f96da6e9216bb93aa815c5da81db330cf736122,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L005,lessons/005-signed-representations-and-binary-subtraction.md,Approved,IndependentlyReviewed,lessons/005-signed-representations-and-binary-subtraction.md#content,6f1f946ba6fba6fd9ddcbeea9259df8c2467a78c1298c7f95fc7a965657803c3,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L005,web/lesson-005/index.html,Approved,IndependentlyReviewed,web/lesson-005/index.html#content,e0a6e684a5c418c4d759fc23f7e665464f46514c9f4f6dade4a74a74d3eae3dc,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L006,lessons/006-bcd-and-hexadecimal-in-practical-systems.md,Approved,IndependentlyReviewed,lessons/006-bcd-and-hexadecimal-in-practical-systems.md#content,9929e3201beef8292b3d049aaaaaf85989e4b43712fce602cd6061044b7bb6bd,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L006,web/lesson-006/index.html,Approved,IndependentlyReviewed,web/lesson-006/index.html#content,2e006a8199f75a154a016e14b55765cf918141ecfa3ff168155bb74fff987a7e,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L007,lessons/007-character-sets-and-internal-binary-character-data.md,Approved,IndependentlyReviewed,lessons/007-character-sets-and-internal-binary-character-data.md#content,ebe04659eba7974fcc773b537455c5e916deb004a03e4ccec3435e995d0b04f8,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L007,web/lesson-007/index.html,Approved,IndependentlyReviewed,web/lesson-007/index.html#content,81ceaafb4a0fb1d5b050f6a1246b4f7176febe7200dfb50afaed9ae1025310dc,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L008,lessons/008-bitmap-file-headers-image-resolution-and-screen-resolution.md,Approved,IndependentlyReviewed,lessons/008-bitmap-file-headers-image-resolution-and-screen-resolution.md#content,ddb1ad1a6bb7b51bdbf72831d28607713bbd0db8bc4d04fb3735061bbf55a138,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L008,web/lesson-008/index.html,Approved,IndependentlyReviewed,web/lesson-008/index.html#content,f56a393f23197366cd17cf34b612469c7a5efd750d3bd4306ece3f0840439f01,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L009,lessons/009-bitmap-file-size-calculations-and-metadata.md,Approved,IndependentlyReviewed,lessons/009-bitmap-file-size-calculations-and-metadata.md#content,ba1e311eb747792ff84398e138fdc2481b88cf1f510464a478669c5ad710a72b,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L009,web/lesson-009/index.html,Approved,IndependentlyReviewed,web/lesson-009/index.html#content,4e40ebe5e105a689055c8f25c6bb5d84b698e7452d7122dd607ed0ae150de2c6,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L010,lessons/010-vector-graphics-and-drawing-lists.md,Approved,IndependentlyReviewed,lessons/010-vector-graphics-and-drawing-lists.md#content,34859f0dcd29c91263e279af4203ef6f33a7b6fd50388f354a80e9b5b079ec7e,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L010,web/lesson-010/index.html,Approved,IndependentlyReviewed,web/lesson-010/index.html#content,76a251ae30da0d0cc4e2f283e9bdb5e25c0c5815ce4217538c0468621f7d079f,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L011,lessons/011-sound-sampling-sampling-resolution-accuracy-and-storage.md,Approved,IndependentlyReviewed,lessons/011-sound-sampling-sampling-resolution-accuracy-and-storage.md#content,f9c3ff129cd6c1a185fb91a6c21dbf9947a5fa7b81b3b6ea61a16d275edfff32,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L011,web/lesson-011/index.html,Approved,IndependentlyReviewed,web/lesson-011/index.html#content,36187031e189e0ee2189b988ddede2d77931896cc468332e3b7f1fc32a311667,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L012,lessons/012-sound-file-size-calculations.md,Approved,IndependentlyReviewed,lessons/012-sound-file-size-calculations.md#content,5a060a57c620cde2918fa3ec7135ddee06cd13aaea4a8e5682b3ed90274fab86,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L012,web/lesson-012/index.html,Approved,IndependentlyReviewed,web/lesson-012/index.html#content,98464b859f3b183a4eec3accfbc1ae6e7bd2a57747b524bb68160e73b8b8792a,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L013,lessons/013-compression-methods-for-text-bitmap-vector-and-sound-files.md,Approved,IndependentlyReviewed,lessons/013-compression-methods-for-text-bitmap-vector-and-sound-files.md#content,1c383a49ff2763e262928dda327210d73d097c75df52047ab740974ba748761d,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L013,web/lesson-013/index.html,Approved,IndependentlyReviewed,web/lesson-013/index.html#content,62a0bebd50edaea7f0cbe68bdc5479d57d964149a0dfe71f30975de955f15f82,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L014,lessons/014-run-length-encoding-and-dictionary-style-compression.md,Approved,IndependentlyReviewed,lessons/014-run-length-encoding-and-dictionary-style-compression.md#content,5972469cc67957fca2ea84567f346fdb078f4fb87b0618b5abaf439c7e2a85f7,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-html,L014,web/lesson-014/index.html,Approved,IndependentlyReviewed,web/lesson-014/index.html#content,fcb7fe2d38d95a4262178edc39b83427d4ae30cdf6c062c376c7a88715f49a01,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
lesson-markdown,L015,lessons/015-choosing-data-representation-for-a-real-system.md,Approved,IndependentlyReviewed,lessons/015-choosing-data-representation-for-a-real-system.md#content,51c31e2f2d1901485856a1b2602a16b94a4d18580e3e98ae82f19d448272afd1,stage4-surface-review,R4,syllabus:p15,Item-specific terminology and prohibited-wording checks passed against the current content hash.
